eventid,iyear,imonth,month_txt,iday,date,country_txt,region_txt,provstate,city,latitude,longitude,multiple,success,suicide,suicide_txt,attacktype1_txt,targtype1_txt,target1,weaptype1_txt,nkill
2.02E+11,2017,1,Jan,1,1/01/2017,Turkey,Middle East & North Africa,Istanbul,Istanbul,41.106178,28.689863,0,1,0,No,Armed Assault,Business,Nightclub,Firearms,39
2.02E+11,2017,1,Jan,1,1/01/2017,Syria,Middle East & North Africa,Tartus,Tartus,34.895928,35.886652,0,1,1,Yes,Bombing/Explosion,Police,Officers,Explosives,4
2.02E+11,2017,1,Jan,1,1/01/2017,Pakistan,South Asia,Federally Administered Tribal Areas,Niaag Bandar,34.824085,71.382386,0,1,0,No,Bombing/Explosion,Police,Patrol,Explosives,1
2.02E+11,2017,1,Jan,1,1/01/2017,Italy,Western Europe,Tuscany,Florence,43.76956,11.255814,0,1,0,No,Bombing/Explosion,Business,Bookstore,Explosives,0
2.02E+11,2017,1,Jan,1,1/01/2017,Turkey,Middle East & North Africa,Diyarbakir,Cinar,37.724137,40.413484,0,1,0,No,Bombing/Explosion,Police,Police Station,Explosives,0
2.02E+11,2017,1,Jan,1,1/01/2017,Turkey,Middle East & North Africa,Istanbul,Istanbul,41.106178,28.689863,0,1,0,No,Armed Assault,Religious Figures/Institutions,Mosque,Firearms,0
2.02E+11,2017,1,Jan,1,1/01/2017,Somalia,Sub-Saharan Africa,Gedo,Luq district,3.798013,42.544463,0,1,0,No,Armed Assault,Military,Soldiers,Firearms,3
2.02E+11,2017,1,Jan,1,1/01/2017,Pakistan,South Asia,Khyber Pakhtunkhwa,Nurar,32.90382,70.535789,0,1,0,No,Bombing/Explosion,Educational Institution,House of Teacher: Malik Gohar Ali,Explosives,0
2.02E+11,2017,1,Jan,1,1/01/2017,Yemen,Middle East & North Africa,Taizz,Taizz,13.586484,44.024105,0,1,0,No,Bombing/Explosion,Private Citizens & Property,Residential Areas,Explosives,3
2.02E+11,2017,1,Jan,1,1/01/2017,Afghanistan,South Asia,Herat,Herat,34.346722,62.197315,0,1,0,No,Bombing/Explosion,Religious Figures/Institutions,Mosque,Explosives,1
2.02E+11,2017,1,Jan,1,1/01/2017,Bahrain,Middle East & North Africa,Southern,Jaww,26,50.616667,0,1,0,No,Armed Assault,Police,Jau Prison,Firearms,1
2.02E+11,2017,1,Jan,1,1/01/2017,Myanmar,Southeast Asia,Rakhine,Minbya,20.366728,93.266651,0,0,0,No,Bombing/Explosion,Unknown,Unknown,Explosives,0
2.02E+11,2017,1,Jan,1,1/01/2017,Afghanistan,South Asia,Helmand,Marjah,31.467463,64.092445,0,1,0,No,Unknown,Police,Station,Unknown,
2.02E+11,2017,1,Jan,1,1/01/2017,Afghanistan,South Asia,Helmand,Sangin,32.071931,64.838837,0,1,0,No,Unknown,Government (General),District Center,Unknown,4
2.02E+11,2017,1,Jan,1,1/01/2017,Afghanistan,South Asia,Herat,Chishti Sharif district,34.34013,63.75288,0,1,0,No,Hostage Taking (Kidnapping),Military,Soldier,Unknown,
2.02E+11,2017,1,Jan,1,1/01/2017,Afghanistan,South Asia,Logar,Charkh,33.79821,68.93483,0,1,0,No,Bombing/Explosion,Military,Tank,Explosives,0
2.02E+11,2017,1,Jan,1,1/01/2017,Sudan,Sub-Saharan Africa,Central Darfur,Nertiti,12.959799,24.039829,0,1,0,No,Armed Assault,Private Citizens & Property,Refugee Camp,Firearms,8
2.02E+11,2017,1,Jan,1,1/01/2017,Burundi,Sub-Saharan Africa,Bujumbura Mairie,Bujumbura,-3.375828,29.364107,0,1,0,No,Assassination,Government (General),Environment Minister: Emmanuel Niyonkuru,Firearms,1
2.02E+11,2017,1,Jan,1,1/01/2017,Iraq,Middle East & North Africa,Al Qadisiyah,Qadisiyah,31.697046,44.47716,0,1,1,Yes,Bombing/Explosion,Police,Checkpoint,Explosives,9
2.02E+11,2017,1,Jan,1,1/01/2017,Egypt,Middle East & North Africa,Cairo,Cairo,30.084629,31.334314,0,1,0,No,Bombing/Explosion,Private Citizens & Property,Civilians,Explosives,0
