eventid,iyear,imonth,iday,country_txt,region_txt,provstate,city,latitude,longitude,location,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,gname,guncertain1,claimed,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,dbsource
2.01701E+11,2017,1,1,Turkey,Middle East & North Africa,Istanbul,Istanbul,41.106178,28.689863,The incident occurred in the Ortakoy neighborhood.,0,1,0,2,Armed Assault,Business,Entertainment/Cultural/Stadium/Casino,Reina Nightclub,Nightclub,Turkey,Islamic State of Iraq and the Levant (ISIL),0,1,Firearms,2,Automatic or Semi-Automatic Rifle,39,START Primary Collection
2.01701E+11,2017,1,1,Syria,Middle East & North Africa,Tartus,Tartus,34.895928,35.886652,,0,1,1,3,Bombing/Explosion,Police,Police Security Forces/Officers,Syrian Police,Officers,Syria,Islamic State of Iraq and the Levant (ISIL),0,1,Explosives,13,Suicide (carried bodily by human being),4,START Primary Collection
2.01701E+11,2017,1,1,Pakistan,South Asia,Federally Administered Tribal Areas,Niaag Bandar,34.824085,71.382386,The incident occurred in Bajaur district.,0,1,0,3,Bombing/Explosion,Police,Police Patrol (including vehicles and convoys),Levies Forces,Patrol,Pakistan,Unknown,0,0,Explosives,8,Landmine,1,START Primary Collection
2.01701E+11,2017,1,1,Italy,Western Europe,Tuscany,Florence,43.76956,11.255814,,0,1,0,3,Bombing/Explosion,Business,Retail/Grocery/Bakery,Unknown,Bookstore,Italy,Anarchists,0,0,Explosives,9,Letter Bomb,0,START Primary Collection
2.01701E+11,2017,1,1,Turkey,Middle East & North Africa,Diyarbakir,Cinar,37.724137,40.413484,,0,1,0,3,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Turkish National Police (EGM),Police Station,Turkey,Kurdistan Workers' Party (PKK),0,0,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",0,START Primary Collection
2.01701E+11,2017,1,1,Turkey,Middle East & North Africa,Istanbul,Istanbul,41.106178,28.689863,,0,1,0,2,Armed Assault,Religious Figures/Institutions,Place of Worship,Hasan Pasha Mosque,Mosque,Turkey,Unknown,0,0,Firearms,4,Rifle/Shotgun (non-automatic),0,START Primary Collection
2.01701E+11,2017,1,1,Somalia,Sub-Saharan Africa,Gedo,Luq district,3.798013,42.544463,,0,1,0,2,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)",Somali Armed Forces (SAF),Soldiers,Somalia,Al-Shabaab,0,1,Firearms,5,Unknown Gun Type,3,START Primary Collection
2.01701E+11,2017,1,1,Pakistan,South Asia,Khyber Pakhtunkhwa,Nurar,32.90382,70.535789,The incident occurred in Bannu district.,0,1,0,3,Bombing/Explosion,Educational Institution,Teacher/Professor/Instructor,Government of Pakistan,House of Teacher: Malik Gohar Ali,Pakistan,Unknown,0,0,Explosives,16,Unknown Explosive Type,0,START Primary Collection
2.01701E+11,2017,1,1,Yemen,Middle East & North Africa,Taizz,Taizz,13.586484,44.024105,,0,1,0,3,Bombing/Explosion,Private Citizens & Property,House/Apartment/Residence,Not Applicable,Residential Areas,Yemen,Houthi extremists (Ansar Allah),0,0,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",3,START Primary Collection
2.01701E+11,2017,1,1,Afghanistan,South Asia,Herat,Herat,34.346722,62.197315,,0,1,0,3,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Imam Mohammad Baqer Mosque,Mosque,Afghanistan,Khorasan Chapter of the Islamic State,0,0,Explosives,16,Unknown Explosive Type,1,START Primary Collection
2.01701E+11,2017,1,1,Bahrain,Middle East & North Africa,Southern,Jaww,26,50.616667,,0,1,0,2,Armed Assault,Police,Prison/Jail,Public Security Force (PSF),Jau Prison,Bahrain,Unknown,0,0,Firearms,2,Automatic or Semi-Automatic Rifle,1,START Primary Collection
2.01701E+11,2017,1,1,Myanmar,Southeast Asia,Rakhine,Minbya,20.366728,93.266651,The incident occurred in Mrauk-U district.,0,0,0,3,Bombing/Explosion,Unknown,,Unknown,Unknown,Myanmar,Unknown,0,0,Explosives,8,Landmine,0,START Primary Collection
2.01701E+11,2017,1,1,Afghanistan,South Asia,Helmand,Marjah,31.467463,64.092445,,0,1,0,9,Unknown,Police,"Police Building (headquarters, station, school)",Afghan Police,Station,Afghanistan,Taliban,0,1,Unknown,,,,START Primary Collection
2.01701E+11,2017,1,1,Afghanistan,South Asia,Helmand,Sangin,32.071931,64.838837,,0,1,0,9,Unknown,Government (General),Government Building/Facility/Office,Government of Sangin,District Center,Afghanistan,Taliban,0,1,Unknown,,,4,START Primary Collection
2.01701E+11,2017,1,1,Afghanistan,South Asia,Herat,Chishti Sharif district,34.34013,63.75288,,0,1,0,6,Hostage Taking (Kidnapping),Military,"Military Personnel (soldiers, troops, officers, forces)",Afghan National Army (ANA),Soldier,Afghanistan,Taliban,0,0,Unknown,,,,START Primary Collection
2.01701E+11,2017,1,1,Afghanistan,South Asia,Logar,Charkh,33.79821,68.93483,,0,1,0,3,Bombing/Explosion,Military,Military Weaponry,Afghan National Army (ANA),Tank,Afghanistan,Taliban,0,1,Explosives,8,Landmine,0,START Primary Collection
